Identifier,Submission Date,Water point Name,Woreda,Kebele,Parish,Village,Latitude,Longitude,DWD number of water point,Year of water point construction,Who funded the construction of this water point,Estimate the number of households who use this water point as their source of water,What is the main purpose for which people use water from this water point?,What is the main purpose for which people use water from this water point?--OTHER--,Is water used by vendors/collected to sell other places?,Are their livestock drinking facilities at the water point?,Type of water source,Public Tapstand - Name of Water Scheme Connected,Public Tapstand With Water Meter,Water Meter Functioning,Rain Water Harvesting Tank - Volume (L),Number of Taps/Spouts,Protected Spring Type,How many spouts does it have?,Borehole/Well Depth (m),Borehole/Well Diameter (In),Type of lifting device?,Handpump Type,What is the pipe material?,Is the water point currently functional?,Please rate the level of functionality,Specify the nature of the technical breakdowns,Duration of the current non-functionality (how long has it been out of service),How many days in total was the water facility out of service during the past one year?,How many hours per day is it possible to collect water from this source?,How many minutes does it take to fill a 20 Litre Jerry can?,Physical state of the Apron,Physical state of the pedestal,Physical state of Tap/ Spouts,Status of how the tap/ spout is currently being used,Physical state of drainage channel and soakpit,Physical state of the Pumphead,Physical state of the handle,Physical state of the retention wall,Physical state of the superstructure (building and door),Physical state of the plumbing works in the kiosk,How many rainwater harvesting tanks are present?,What is the total storage capacity of the tanks?,How many rainwater harvesting tanks are in USE?,What is the total storage volume of tanks IN USE?,What is the physical state of the gutters,What is the status of the filtration system?,What is the physical state of the filtration system,What is the Physical state of the MAIN tank,Please explain any other observable technical problems that require repairs,Are there any components of the well/ borehole that require total replacement?,Are there any components of the well/ borehole that require total replacement?--OTHER--,Are there any components of the protected spring that require total replacement?,Are there any components of the protected spring that require total replacement?--OTHER--,Are there any components of the public tapstand that require total replacement?,Are there any components of the public tapstand that require total replacement?--OTHER--,Are there any components of the kiosk that require total replacement?,Are there any components of the kiosk that require total replacement?--OTHER--,Are there any components of the rainwater harvesting system that require total replacement?,Are there any components of the rainwater harvesting system that require total replacement?--OTHER--,Are there any potential sources of contamination within 10 meters of the water point?,Is the catchment protected and are there any potential sources if contamination nearby?,Are there any potential sources of contamination to the rainwater system?,Is there concern about potential contamination of the water quality?,Is there concern about potential contamination of the water quality?--OTHER--,Are there any concerns about the COLOUR of the water?,Are there any concerns about the ODOUR/SMELL of the water?,Are there any concerns about the TASTE of the water?,Please any other concern about water quality,Who is responsible for daly operation of the water point?,Who is responsible for daly operation of the water point?--OTHER--,Is the care paid or unpaid?,Is there a WUC/ WSC for this water point?,Who is responsible for the overall management of this water point?,Is the WUC/ WSC currently active?,"In the last year, has the WUC/ WSC/ Management body organised any maintenance activities or repairs?","In the last year,has the WUC/WSC received any support or guidance from the sub-county or district government?",Number of members of the WUC/ WSC,Number of Active members on the WUC/WSC,Number of women on the WUC/WSC,"Number of women in key positions on the WUC/WSC (chair, secretary of finance)",Is the WUC/WSC a member of the Sub County Water Supply and Sanitation Board?,Does the WUC/WSC/operator keep records of the water meter readings or amount of water collected?,Does the WUC/WSC/operator keep financial records on income collected?,Does the WUC/WSC keep financial records on expenditure and/or a record of repairs?,Does the WUC/WSC have a bank account?,When were the last water quality tests done?,Does the operator keep financial records on expenditure and/or a record of repairs?,Has the WUC/WSC received any support or training from the Sub county or the district in the past year?,Do users pay for water?,How much is typically collected from each user when there is a breakdown or repair?,Type of tariff system,Type of tariff system--OTHER--,What is the monthly tariff?,What is the annual tariff?,What is the tariff per 20L jerry can?,% of Community Paying Tariffs,Are there any families or people in the village exempted from payment due to inability to pay?
3p2p-6yys-gyqh,18-03-2021 09:38:01 UTC,kongitem,Agago,Lapono,Ongalo,Kongitem,2.98982434,33.4252193,22371,2007,Government,more than 100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,It was never broken down,more than 8,1-3 minutes,Good,Good,,,fair,Good,Good,,,,,,,,,,,,drainage channel need to be repair,NONE,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,broken channel,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,6,3,2,No,Yes,Yes,Yes,No,1 to 5 years ago,,Yes,Yes,,Fixed tariff per month,,1000,,,60,Yes
4wpb-vphw-0yb7,18-03-2021 09:47:15 UTC,Kulu Okwenye,Agago,Kotomol,Lukee,Eyer Makatong,2.63411833,33.2883417,,2009,Community,,,,,Yes,Shallow well,,,,,,,,0,0,Rope pump,,,Functional and not in use,,,,,,,,,,,very poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49jm-buub-9hjg,18-03-2021 09:52:45 UTC,kongitem,Agago,Lapono,Ongalo,Kongitem,2.98796802,33.4266398,25655,2007,Government,,,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,GI,Non-functional,,all the pipes dropped in water,more than one year,Unknown,,,Good,Very poor,,,fair,Very poor,Very poor,,,,,,,,,,,,head pump,Pumphead,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
pdtv-s8fa-fy5s,18-03-2021 10:21:52 UTC,Aruna,Agago,Lokole,Olung,Aruna,2.94114334,33.3704289,56159,2016,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,54,2,Handpump,,Stainless Steel,Functional in use,Fully functioning at 100%,,,About 1 week in total,more than 8,1-3 minutes,Good,Good,,,Good,Good,Good,,,,,,,,,,,,with time the number of pipes,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,Never,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,10,6,3,0,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,85,Yes
0huu-qcq1-1xmq,18-03-2021 10:09:50 UTC,Kulu Obii shallow Well,Agago,Kotomol,Lukee,Eyer Makatong,2.62717667,33.2850733,,2009,NGO,,,,Never,No,Shallow well,,,,,,,,0,0,Handpump,,I don't know,Non-functional,,"pipe has sunk down, the pumphead brokendown and lost",more than one year,Unknown,,,Very poor,Very poor,,,poor,Very poor,Very poor,,,,,,,,,,,,"pump Head is needed, spout and handle needed",Pedestal,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,,,,No,Unknown,,No,,,,,,,,,,,,,,,,,,,,,,
94e6-hvdj-g88b,18-03-2021 10:26:00 UTC,kuludwong,Agago,Lapono,Kaket,Alumar,2.92871123,33.5977842,47000,2015,Government,more than 100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,18,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,more than 3 minutes,Poor,Por,,,very poor no drainage point,Good,Good,,,,,,,,,,,,"less pipe installed, apron broken and no drainage system",Drainage channel,,,,,,,,,,Rubbish nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Sometimes,Sometimes,"one jerican can take 30 minutes to fill, less pipe installed 6 out 11, community share with army .",Caretaker,,Unpaid,No,WUC/ WSC,,,,,,,,,,,,,Unknown,,,No,,,,,,,,
urae-b3rg-bhqs,18-03-2021 10:19:55 UTC,ongalo east,Agago,Lapono,Ongalo,Ongalo East,2.980249,33.4387378,,2008,Government,,,,,Yes,Shallow well,,,,,,,,6,2,Handpump,,,Functional and not in use,,,,,,,,,,,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pnsj-k2bx-3wnw,18-03-2021 10:56:23 UTC,lira palwo sub county hqtrs,Agago,Lira Palwo TC,Abone Gangkal ward,Abone Gangkal,2.78519763,33.1586174,69331,2007,Government,more than 100,Drinking water,,Never,No,Deep borehole,,,,,,,,18,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Poor,Very poor,,,very poor,Excellent,Very poor,,,,,,,,,,,,handle is about to break,Handle,,,,,,,,,,,,,No concern- water is clean,,Never,Never,Rarely,good,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,4,2,1,No,Yes,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per year,,,200,,100,Yes
5s2a-qx7m-vwtx,18-03-2021 10:51:54 UTC,akeno wor,Agago,Kotomol,Otek,Akeno wor,2.65869979,33.3056945,35798,2011,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,0,0,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Poor,,,,,,,,,,,,the drainage system needs to be constructed,Handle,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Sometimes,Rarely,the community is not able to contribute money incase of any repair,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,7,7,4,2,Yes,,,Yes,Yes,Never,,Yes,Users contribute fees only when repair is needed,1000,,,,,,,
726v-q7rp-nr2t,18-03-2021 10:52:13 UTC,Akwang secondary school,Agago,Lai Mutto TC,Akwang Ward,Akwang,3.10348574,33.4320227,,2018,NGO,,,,Never,No,Rain water harvesting tank,,,,6000,,,,,,,,,Non-functional,,no power for pumping water and no rain,more than one year,Unknown,,,,,,,good,,,,,,2,6000,none,6000,Good,Present and in use,Good,Good,power source,,,,,,,,,NONE,,,,NONE-no contamination risks observed,,,,,,,Caretaker,,Unpaid,No,Private operator,,No,,,,,,,,,,,,No,,,,,,,,,,
wurd-7jne-nn4q,18-03-2021 11:03:21 UTC,Bar kiliti,Agago,Lokole,Olung,Bar Kiliti,2.93629664,33.3763931,56210,2017,NGO,25-50,Drinking water,,Never,Yes,Deep borehole,,,,,,,,66,2,Handpump,,Stainless Steel,Functional in use,Fully functioning at 100%,,,It was never broken down,more than 16 hours,1-3 minutes,Excellent,Excellent,,,Good,Good,Good,,,,,,,,,,,,borehole shelter,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,no,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,10,4,1,1,No,Yes,Yes,Yes,No,3 months to 1 year ago,,No,Yes,,Fixed tariff per month,,1000,,,100,No
23eq-9xcf-w653,18-03-2021 11:05:59 UTC,Tangi lira palwo p/s,Agago,Lira Palwo TC,Bul Otwomo ward,Bulotwomo,2.78209237,33.1682391,,2005,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,15,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Good,Good,,,good,Fair (moderate),Fair (moderate),,,,,,,,,,,,the water point is in a fair state,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,no concern as the water quality test was done.,,the school,,Yes,WUC/ WSC,No,,No,9,5,4,2,Yes,No,Yes,Yes,No,3 months to 1 year ago,,No,Yes,,Fixed tariff per month,,1000,,,30,No
eu0w-23wa-j5q1,18-03-2021 14:40:21 UTC,kuywee H/c,Agago,Kuywee,Paluti,Kuywee West,3.0572037,33.3021996,29439,13/07/2009,NGO,,,,,No,Deep borehole,,,,,,,,24,0,Handpump,,,Functional and not in use,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swv5-a7g3-9u9n,18-03-2021 11:16:01 UTC,Awong Borehole,Agago,Kotomol,Lukee,Awong,2.65174333,33.2895633,35787,2011,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,0,0,Handpump,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,,8-16 hours,more than 3 minutes,Fair (moderate),Good,,,poor,Good,Good,,,,,,,,,,,,some nuts are getting loose,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Sometimes,Sometimes,Proper Fencing and cleaning of the water source,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,6,4,2,1,No,Yes,Yes,Yes,No,Unknown,,Yes,Yes,,Fixed tariff per month,,1000,,,90,Yes
kvw9-k180-apkp,18-03-2021 11:16:06 UTC,kabong west,Agago,Lapono,Ongalo,Kabong West,2.99034501,33.4389707,,2019,NGO,,,,Never,No,Deep borehole,,,,,,,,48,2,Handpump,,GI,Non-functional,,dry well,more than one year,It was never broken down,,,Good,Good,,,good,Very poor,Very poor,,,,,,,,,,,,the system has been taken by the community around,Pedestal,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
dfe9-3tb0-yuth,18-03-2021 11:19:35 UTC,Wang otyat,Agago,Lira Palwo TC,Abone Gangkal ward,Abone Gangkal,2.78619516,33.160639,36015,2009,Government,50-100,Drinking water,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Very poor,Good,,,good,Good,Good,,,,,,,,,,,,apron,Apron,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,good,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,5,3,1,No,,,Yes,No,During construction of the water source,,No,Users contribute fees only when repair is needed,200,,,,,,,
jvn2-xdbw-rjwd,18-03-2021 11:31:20 UTC,coodong North,Agago,Omiya Pacwa,Lojim,Coo Dong North,3.22752945,33.4524079,86128,2016,Government,50-100,Drinking water,,Never,Yes,Deep borehole,,,,,,,,30,7,Handpump,,PVC,Functional in use,Partially functioning works with some issues/ difficulties,,,It was never broken down,more than 8,more than 3 minutes,Good,Good,,,good,Excellent,Excellent,,,,,,,,,,,,breakdown in pipes,,pipes,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,good,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,9,2,1,Yes,Yes,Yes,Yes,No,3 months to 1 year ago,,No,Yes,,Fixed tariff per month,,1000,,,100,No
9bne-rhk4-3a8e,18-03-2021 11:20:42 UTC,karaka spring,Agago,Lai Mutto TC,Akwang Ward,Akwang,3.10180204,33.4303585,,since 1950,Community,,,,,No,Shallow well,,,,,,,,5,10,Manual lifting rope,,,Functional and not in use,,,,,,,,,,,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5k4c-ba2f-pa90,18-03-2021 11:30:00 UTC,lira palwo p/s i,Agago,Lira Palwo TC,Bul Otwomo ward,Bulotwomo,2.78160991,33.1694511,17812,2004,NGO,,,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,GI,Non-functional,,There is a problem with the connecting rode and the pipes,more than one year,More than 3 weeks total,,,Good,Good,,,good,Good,Good,,,,,,,,,,,,the chains are broken,,pipes and the connecting rode,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
ksbh-y6s0-1g43,18-03-2021 11:35:02 UTC,wang otyat,Agago,Lira Palwo TC,Abone Gangkal ward,Abone Gangkal,2.78649225,33.1614935,,1972,Government,50-100,Drinking water,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Barely functioning (almost not functioning),,,,8-16 hours,more than 3 minutes,Poor,Fair (moderate),,,poor,Poor,Very poor,,,,,,,,,,,,handle is about to break,Pedestal,,,,,,,,,,Rubbish nearby,,,No concern- water is clean,,Never,Never,Rarely,Good,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,8,4,2,1,Yes,Yes,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,2000,,,70,Yes
fbhf-u1pd-9thn,18-03-2021 11:34:51 UTC,kabong East,Agago,Lapono,Ongalo,Kabong East,2.99086747,33.4474444,,2010,Government,more than 100,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,36,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,more than 3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,problem with cylinder rubber,,cylinder rubber,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,cylinder rubber broken,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,7,5,3,No,Yes,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,70,Yes
jssq-d56a-ksuu,18-03-2021 11:50:44 UTC,Cewente,Agago,Lokole,Olung,Aruna South,2.92461678,33.3847277,56297,2017,NGO,25-50,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,42,2,Handpump,,Stainless Steel,Functional in use,Fully functioning at 100%,,,It was never broken down,more than 8,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,some nuts are wound out,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,work on hygiene,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,9,9,4,2,Yes,No,Yes,Yes,No,During construction of the water source,,Yes,Yes,,Fixed tariff per month,,1000,,,98,Yes
fkdw-1f7b-88s9,18-03-2021 11:54:19 UTC,olam 2,Agago,Lapono,Kaket,Ocoyo Lamero,2.98850579,33.4611024,25685,2017,Government,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,more than 8,1-3 minutes,Good,Good,,,blockage in the sock pit,Good,Poor,,,,,,,,,,,,handle is won out and is about to get broken,Handle,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,The colour changes,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,3,4,2,No,,,No,No,Never,,Yes,No,,,,,,,,
nwtm-bb3x-wny2,18-03-2021 11:52:55 UTC,wang atungao,Agago,Lira Palwo TC,Abone Gangkal ward,Abone Gangkal,2.78573805,33.1619209,,1998,NGO,,,,Never,No,Shallow well,,,,,,,,6,2,Handpump,,I don't know,Non-functional,,all parts removed only pedestal remaining,more than one year,,,,Very poor,Very poor,,,not there already,Very poor,Very poor,,,,,,,,,,,,all parts apart from pedestal,Spout,all parts,,,,,,,,,Animal excreta nearby,,,,,,,,,Caretaker,,Unpaid,No,WUC/ WSC,,,,,,,,,,,,,,,,,,,,,,,,
a6eg-y8fh-1dny,18-03-2021 11:50:26 UTC,coodong,Agago,Omiya Pacwa,Lojim,Coo Dong,3.21924802,33.4494657,,2015,NGO,,,,,No,Deep borehole,,,,,,,,36,7,Handpump,,,Functional and not in use,,,,,,,,,,,needs to be workedon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6h99-pekk-eu01,18-03-2021 11:51:27 UTC,st janani Hc ii,Agago,Lira Palwo TC,Bul Otwomo ward,Bulotwomo,2.78207768,33.1660209,13215,2004,NGO,,,,,No,Deep borehole,,,,,,,,24,2,Handpump,,,Functional and not in use,,,,,,,,,,,fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faq0-9889-v3vg,18-03-2021 11:53:57 UTC,Akwang,Agago,Lai Mutto TC,Akwang Ward,Akwang,3.10431626,33.4337449,,2020,NGO,,,,,No,Public Tapstand,nothern umbrella,,,,,,,,,,,,Functional and not in use,,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radh-vfm6-g4mg,18-03-2021 12:12:08 UTC,Akwang,Agago,Lai Mutto TC,Akwang Ward,Akwang,3.10521012,33.4330231,,2020,NGO,less than 25,Drinking water,,Never,No,Public Tapstand,,Yes,Yes,,,,,,,,,,Functional in use,Fully functioning at 100%,,,About 1 week in total,more than 16 hours,1-3 minutes,Fair (moderate),,Fair (moderate),Active all are in use,poor,,,,,,,,,,,,,,meter Box,,,,,,meter box,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,no,Caretaker,,Unpaid,No,Northern Umbrella,,No,,,,,,,Unknown,No,,,Never,Yes,,Yes,,Fixed tariff per month,,10000,,,100,No
dwng-s19f-3gbk,18-03-2021 12:05:14 UTC,cewente,Agago,Lokole,Olung,Aruna South,2.93132141,33.3854725,,2007,NGO,,,,,No,Deep borehole,,,,,,,,48,2,Handpump,,,Functional and not in use,,,,,,,,,,,Every where is bushy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7etb-jsh6-b0w1,18-03-2021 12:08:54 UTC,Wang shilling,Agago,Lira Palwo TC,Abone Gangkal ward,Abone Gangkal,2.78851908,33.1622351,,2006,NGO,,,,Never,Yes,Shallow well,,,,,,,,3,2,Handpump,,GI,Non-functional,,all parts has been removed apart from pedestal,more than one year,,,,Poor,Good,,,poor,Very poor,Very poor,,,,,,,,,,,,all parts except pedestal,Spout,pipes,,,,,,,,,Rubbish nearby,,,,,,,,,Caretaker,,Unpaid,No,Unknown,,Unknown,,,,,,,,,,,,,,,,,,,,,,
3csw-mvm2-5x0y,18-03-2021 12:21:05 UTC,tekango,Agago,Lapono,Kaket,Tekango,2.9827906,33.4660401,63814,0,Government,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,more than 3 minutes,Very poor,Fair (moderate),,,no sock pit and its very dirty with rubish,Fair (moderate),Fair (moderate),,,,,,,,,,,,"no drainage chanel , no sock pit ,there is high ldvdl of contamination of this water point",Pedestal,,,,,,,,,,Rubbish nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Never,Rarely,this water point need sanitary savey snd rehabilitation.,,no one,,No,Unknown,,No,,,,,,,,,,,Unknown,,,No,,,,,,,,
kcyt-19ry-1r2r,18-03-2021 12:15:24 UTC,Ongalo,Agago,Lapono,Ongalo,Ongalo East,2.98810898,33.4362094,,2007,NGO,,,,Never,No,Rain water harvesting tank,,,,82000,,,,,,,,,Non-functional,,tape,more than one year,Unknown,,,,,,,poor,,,,,,7,82000,1,20000,Good,No filtration system exists,,Good,tap,,,,,,,,,Taps,,,,Gutter channels are collecting dirty water,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
b8kg-5yg3-9w5n,18-03-2021 12:28:10 UTC,abicelo village,Agago,Omiya Pacwa,Lojim,Abicelo,3.20324319,33.4592041,46799,2014,NGO,,,,Never,No,Deep borehole,,,,,,,,42,7,Handpump,,PVC,Non-functional,,pipes and ballbearing,more than one year,,,,Good,Good,,,fair,Good,Good,,,,,,,,,,,,ballbearing and nats needsto beworked on,,ballbearing,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,5,1,Yes,,,Yes,No,,,No,,,,,,,,,
whpt-g8yy-97x2,18-03-2021 12:31:13 UTC,Dog okee,Agago,Kotomol,Lukee,Dog okee,2.60480949,33.2724437,30572,2008,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,0,0,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,It was never broken down,8-16 hours,1-3 minutes,Fair (moderate),Good,,,very poor,Excellent,Excellent,,,,,,,,,,,,Crucks on the apron,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,there is no proper drainage system,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,11,7,7,3,Yes,,,Yes,No,Never,,No,Users contribute fees only when repair is needed,1000,,,,,,,
cyxy-dby9-w1kp,18-03-2021 12:27:00 UTC,Dog Okee Village,Agago,Kotomol,Lukee,Dog okee,2.612575,33.2639483,,2015,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,0,0,Handpump,,Stainless Steel,Functional in use,Fully functioning at 100%,,,About 1 week in total,more than 8,1-3 minutes,Good,Excellent,,,Good,Good,Good,,,,,,,,,,,,Apron needs repair and drainage channel,Apron,,,,,,,,,,NONE-No contamination risk observed,,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Never,Always - Problems with Taste,Water point should be fenced,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,4,4,0,0,Unknown,,,Yes,No,Unknown,,Yes,Users contribute fees only when repair is needed,2000,,,,,,,
6mdt-ub5x-5ttr,18-03-2021 12:44:29 UTC,Lwala south,Agago,Lokole,Olung,Lwala South,2.92300078,33.365384,22698,2006,NGO,,,,Never,No,Shallow well,,,,,,,,21,2,Motorised pump,AfriDev,PVC,Non-functional,,Total breakdown,more than one year,Unknown,,,Fair (moderate),Por,,,bushy,Very poor,Very poor,,,,,,,,,,,,general repair required,,all set up,,,,,,,,,Latrine nearby,,,,,,,,,,,,No,Unknown,,No,,,,,,,,,,,,,,,,,,,,,,
95vr-ykes-um1u,18-03-2021 13:04:15 UTC,Mutto,Agago,Lai Mutto TC,Mutto Ward,Lobiri Central,3.12562118,33.4341755,,2005,Government,more than 100,Drinking water,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,more than 8,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,head,Pumphead,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,poor maintenance of head pump,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,5,7,3,No,Unknown,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,60,No
5u4s-ab00-vveg,18-03-2021 13:17:02 UTC,Olung,Agago,Lokole,Olung,Lwala Central,2.92153113,33.3650402,,2006,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,Fair (moderate),Good,,,very poor,Fair (moderate),Good,,,,,,,,,,,,hygiene is not to the maximum,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Sometimes,Rarely,Not very clean,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,2,7,1,No,,,Yes,No,During construction of the water source,,No,Users contribute fees only when repair is needed,1000,,,,,,,
